iter	Passed	Remaining
152	201904	457913
153	203261	456678
154	204645	455501
155	205981	454216
156	207235	452750
157	208624	451579
158	209955	450282
159	211369	449160
160	212642	447738
161	213835	446150
162	215104	444726
163	216327	443207
164	217656	441909
165	219036	440711
166	220260	439201
167	221552	437829
168	222835	436440
169	224000	434825
170	225330	433529
171	226663	432242
172	227967	430897
173	229319	429643
174	230578	428217
175	231928	426960
176	233071	425323
177	234345	423928
178	235550	422411
179	236978	421295
180	238332	420044
181	239776	418950
182	241129	417694
183	242498	416464
184	243878	415252
185	245164	413880
186	246505	412600
187	247817	411271
188	249039	409795
189	250418	408577
190	251701	407202
191	253041	405921
192	254199	404347
193	255475	402965
194	256687	401485
195	258006	400173
196	259331	398869
197	260666	397582
198	261954	396222
199	263288	394932
200	264618	393636
201	265875	392232
202	267205	390936
203	268484	389565
204	269770	388205
205	271065	386860
206	272350	385501
207	273650	384163
208	275081	383007
209	276333	381603
210	277714	380377
211	278871	378843
212	280110	377426
213	281363	376027
214	282645	374669
215	283920	373302
216	285275	372041
217	286668	370828
218	287877	369376
219	289173	368038
220	290484	366720
221	291812	365423
222	293120	364100
223	294386	362726
224	295678	361385
225	296967	360040
226	298286	358731
227	299693	357529
228	301060	356276
229	302288	354859
230	303601	353544
231	304837	352139
232	306106	350774
233	307303	349327
234	308553	347943
235	309792	346547
236	311190	345329
237	312351	343849
238	313616	342485
239	314941	341186
240	316299	339923
241	317468	338457
242	318856	337226
243	320143	335887
244	321401	334519
245	322573	333063
246	323827	331693
247	325116	330360
248	326460	329082
249	327809	327809
250	329046	326424
251	330304	325061
252	331664	323798
253	332841	322358
254	334134	321031
255	335379	319658
256	336659	318319
257	337949	316991
258	339102	315535
259	340366	314184
260	341708	312905
261	343142	311709
262	344485	310430
263	345715	309048
264	347143	307844
265	348510	306584
266	349825	305278
267	351052	303896
268	352379	302601
269	353621	301233
270	355026	300003
271	356252	298623
272	357537	297293
273	358927	296049
274	360282	294776
275	361669	293529
276	363175	292375
277	364473	291054
278	365700	289677
279	367067	288409
280	368363	287087
281	369548	285679
282	370772	284302
283	372200	283082
284	373392	281681
285	374589	280287
286	375855	278945
287	377138	277615
288	378566	276392
289	379841	275057
290	381034	273663
291	382377	272378
292	383749	271113
293	384965	269737
294	386156	268345
295	387474	267042
296	388670	265656
297	390032	264384
298	391292	263043
299	392541	261694
300	393889	260412
301	395144	259068
302	396346	257690
303	397590	256340
304	399049	255130
305	400446	253877
306	401729	252553
307	403043	251248
308	404281	249895
309	405662	248632
310	406893	247276
311	408111	245913
312	409315	244543
313	410558	243196
314	411898	241908
315	413160	240574
316	414547	239312
317	415967	238069
318	417286	236767
319	418681	235508
320	419946	234175
321	421233	232855
322	422558	231556
323	423790	230207
324	425113	228907
325	426418	227597
326	427728	226290
327	429106	225019
328	430266	223633
329	431573	222325
330	432877	221015
331	434113	219671
332	435437	218372
333	436770	217077
334	438004	215733
335	439344	214441
336	440514	213067
337	441975	211834
338	443520	210639
339	444789	209312
340	446221	208062
341	447511	206745
342	448861	205455
343	450185	204154
344	451395	202801
345	452629	201459
346	453861	200117
347	455133	198794
348	456465	197496
349	457719	196165
350	458994	194843
351	460233	193507
352	461483	192175
353	462720	190839
354	464080	189554
355	465415	188257
356	466601	186902
357	467760	185536
358	469003	184204
359	470318	182901
360	471824	181672
361	473144	180369
362	474469	179069
363	475757	177755
364	476978	176416
365	478261	175101
366	479600	173806
367	480865	172484
368	482182	171181
369	483519	169885
370	484877	168596
371	486127	167269
372	487537	165997
373	489075	164768
374	490403	163467
375	491717	162162
376	492934	160824
377	494291	159533
378	495730	158267
379	497027	156956
380	498396	155667
381	499566	154316
382	500882	153011
383	502005	151647
384	503239	150318
385	504646	149040
386	506010	147749
387	507358	146454
388	508717	145161
389	510030	143854
390	511325	142543
391	512721	141259
392	514033	139953
393	515261	138623
394	516523	137303
395	517922	136020
396	519326	134737
397	520628	133427
398	521854	132098
399	523049	130762
400	524348	129452
401	525603	128132
402	526953	126834
403	528224	125518
404	529510	124206
405	530759	122885
406	532034	121570
407	533367	120269
408	534623	118950
409	535818	117618
410	537096	116305
411	538408	114999
412	539698	113689
413	541052	112392
414	542266	111066
415	543481	109741
416	544636	108404
417	545845	107079
418	547092	105762
419	548440	104464
420	549637	103138
421	550781	101803
422	552047	100491
423	553351	99185
424	554634	97876
425	555943	96572
426	557170	95254
427	558445	93944
428	559727	92635
429	561135	91347
430	562291	90018
431	563572	88710
432	564790	87392
433	566256	86112
434	567735	84834
435	569176	83548
436	570499	82245
437	571877	80950
438	573276	79658
439	574478	78337
440	575782	77032
441	577060	75722
442	578419	74424
443	579704	73115
444	580999	71808
445	582335	70506
446	583692	69207
447	584983	67899
448	586249	66589
449	587552	65283
450	588862	63978
451	590105	62666
452	591366	61355
453	592711	60054
454	593977	58745
455	595239	57435
456	596506	56126
457	597817	54821
458	599152	53519
459	600470	52214
460	601647	50898
461	602834	49583
462	604118	48277
463	605390	46969
464	606597	45657
465	607968	44358
466	609310	43056
467	610618	41751
468	611898	40445
469	613097	39133
470	614448	37832
471	615680	36523
472	616828	35210
473	618079	33903
474	619581	32609
475	620895	31305
476	622214	30001
477	623510	28697
478	624769	27390
479	626009	26083
480	627311	24779
481	628502	23471
482	629756	22165
483	631090	20862
484	632280	19555
485	633639	18252
486	634856	16946
487	636219	15644
488	637546	14341
489	638815	13037
490	640077	11732
491	641288	10427
492	642512	9122
493	643674	7817
494	644934	6514
495	646268	5211
496	647501	3908
497	648803	2605
498	650058	1302
499	651363	0
